"collection_date","N_Gene_gc_g_dry_weight"
2023-01-02,0
2023-01-03,0
2023-01-04,0
2023-01-05,0
2023-01-06,462125.013152542
2023-01-07,0
2023-01-08,0
2023-01-09,0
2023-01-10,0
2023-01-11,63093.7629244444
2023-01-12,0
2023-01-13,140430.626269504
2023-01-14,0
2023-01-15,0
2023-01-16,0
2023-01-17,0
2023-01-18,116766.510008889
2023-01-19,0
2023-01-20,0
2023-01-21,0
2023-01-22,0
2023-01-23,248184.144992248
2023-01-24,0
2023-01-25,121509.340076628
2023-01-26,0
2023-01-27,123952.91648
2023-01-28,0
2023-01-29,0
2023-01-30,307523.200609524
2023-01-31,0
2023-02-01,0
2023-02-02,0
2023-02-03,904244.486506667
2023-02-04,0
2023-02-05,0
2023-02-06,241231.898989899
2023-02-07,0
2023-02-08,451344.32172549
2023-02-09,0
2023-02-10,393249.968136752
2023-02-11,0
2023-02-12,0
2023-02-13,169748.417076453
2023-02-14,0
2023-02-15,1409778.45825641
2023-02-16,0
2023-02-17,85738.3957333333
2023-02-18,0
2023-02-19,0
2023-02-20,0
2023-02-21,0
2023-02-22,723267.873098039
2023-02-23,0
2023-02-24,776404.34198374
2023-02-25,0
2023-02-26,0
2023-02-27,341068.980512821
2023-02-28,0
2023-03-01,164181.401991111
2023-03-02,0
2023-03-03,213599.792646465
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,1090526.84700775
2023-03-09,0
2023-03-10,140013.624565657
2023-03-11,0
2023-03-12,0
2023-03-13,367095.301417989
2023-03-14,0
2023-03-15,497166.255111111
2023-03-16,0
2023-03-17,4512910.50051282
2023-03-18,0
2023-03-19,0
2023-03-20,56260.059275
2023-03-21,0
2023-03-22,151137.44600939
2023-03-23,0
2023-03-24,132927.195546667
2023-03-25,0
2023-03-26,0
2023-03-27,106647.935081991
2023-03-28,0
2023-03-29,0
2023-03-30,76796.8058724821
2023-03-31,130340.367546841
2023-04-01,0
2023-04-02,263169.747728606
2023-04-03,0
2023-04-04,0
2023-04-05,0
2023-04-06,0
2023-04-07,0
2023-04-08,0
2023-04-09,0
2023-04-10,0
2023-04-11,0
2023-04-12,0
2023-04-13,116331.103107451
2023-04-14,21237.4637254902
2023-04-15,0
2023-04-16,0
2023-04-17,35850.8731922534
2023-04-18,0
2023-04-19,85695.8587285813
2023-04-20,0
2023-04-21,53565.6634161694
2023-04-22,0
2023-04-23,49241.5314237909
2023-04-24,0
2023-04-25,0
2023-04-26,344961.612061539
2023-04-27,0
2023-04-28,71179.1085694433
2023-04-29,0
2023-04-30,0
2023-05-01,1062451.63186806
2023-05-02,0
2023-05-03,76028.9031281734
2023-05-04,0
2023-05-05,122161.846724471
2023-05-06,0
2023-05-07,0
2023-05-08,355949.620536953
2023-05-09,0
2023-05-10,0
2023-05-11,0
2023-05-12,0
2023-05-13,0
2023-05-14,0
2023-05-15,0
2023-05-16,0
2023-05-17,0
2023-05-18,0
2023-05-19,0
2023-05-20,0
2023-05-21,0
2023-05-22,66704.1524856471
2023-05-23,0
2023-05-24,67925.6232132213
2023-05-25,0
2023-05-26,36980.485274353
2023-05-27,0
2023-05-28,0
2023-05-29,0
2023-05-30,0
2023-05-31,109141.531245436
2023-06-01,0
2023-06-02,122028.25419112
2023-06-03,0
2023-06-04,0
2023-06-05,1498656.83446333
2023-06-06,0
2023-06-07,31379.345624083
2023-06-08,0
2023-06-09,89692.8618835806
2023-06-10,0
2023-06-11,0
2023-06-12,315436.647693514
2023-06-13,0
2023-06-14,64985.3233302674
2023-06-15,0
2023-06-16,22277.6722056201
2023-06-17,0
2023-06-18,0
2023-06-19,55187.4576270976
2023-06-20,0
2023-06-21,0
2023-06-22,269356.212374388
2023-06-23,0
2023-06-24,0
2023-06-25,0
2023-06-26,0
2023-06-27,30191.7035009576
2023-06-28,46680.5387187616
2023-06-29,0
2023-06-30,818908.546825272
2023-07-01,0
2023-07-02,0
2023-07-03,65937.8538877785
2023-07-04,0
2023-07-05,67125.2323470239
2023-07-06,0
2023-07-07,291507.305379028
2023-07-08,0
2023-07-09,0
2023-07-10,81490.8122649774
2023-07-11,0
2023-07-12,376772.825655962
2023-07-13,0
2023-07-14,204936.154799499
2023-07-15,0
2023-07-16,0
2023-07-17,90368.5561732385
2023-07-18,0
2023-07-19,41557.7738315745
2023-07-20,0
2023-07-21,231838.880997138
2023-07-22,0
2023-07-23,0
2023-07-24,46242.9826543472
2023-07-25,0
2023-07-26,147151.297376589
2023-07-27,0
2023-07-28,55853.5258707692
2023-07-29,0
2023-07-30,0
2023-07-31,76318.3080856022
2023-08-01,0
2023-08-02,424406.067848366
2023-08-03,0
2023-08-04,123973.604005596
2023-08-05,0
2023-08-06,0
2023-08-07,98507.4527291725
2023-08-08,0
2023-08-09,81276.8153976471
2023-08-10,0
2023-08-11,109914.639083544
2023-08-12,0
2023-08-13,0
2023-08-14,69633.0600686148
2023-08-15,0
2023-08-16,143723.502878598
2023-08-17,0
2023-08-18,156974.231965325
2023-08-19,0
2023-08-20,0
2023-08-21,1254373.73745236
2023-08-22,0
2023-08-23,266557.613562594
2023-08-24,0
2023-08-25,119685.520329412
2023-08-26,0
2023-08-27,0
2023-08-28,292999.296871192
2023-08-29,0
2023-08-30,283304.927261002
2023-08-31,0
2023-09-01,116109.17026436
2023-09-02,0
2023-09-03,0
2023-09-04,0
2023-09-05,0
2023-09-06,232717.993696209
2023-09-07,0
2023-09-08,54673.1315713369
2023-09-09,0
2023-09-10,0
2023-09-11,129064.677058638
2023-09-12,0
2023-09-13,47228.0429902131
2023-09-14,0
2023-09-15,237259.683865452
2023-09-16,0
2023-09-17,0
2023-09-18,120644.51570134
2023-09-19,0
2023-09-20,57107.1190259746
2023-09-21,0
2023-09-22,103609.520936209
2023-09-23,0
2023-09-24,0
2023-09-25,144414.7590636
2023-09-26,0
2023-09-27,120459.283291765
2023-09-28,0
2023-09-29,90313.7807093048
2023-09-30,0
2023-10-01,0
2023-10-02,125547.452268235
2023-10-03,0
2023-10-04,173642.238657068
2023-10-05,0
2023-10-06,112937.569750374
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,64607.1398922876
2023-10-12,0
2023-10-13,199539.20524582
2023-10-14,0
2023-10-15,0
2023-10-16,24055.0993659893
2023-10-17,0
2023-10-18,215288.847263251
2023-10-19,0
2023-10-20,63333.2082845675
2023-10-21,0
2023-10-22,0
2023-10-23,103692.662413929
2023-10-24,0
2023-10-25,58953.0736101004
2023-10-26,0
2023-10-27,33575.3857219048
2023-10-28,0
2023-10-29,0
2023-10-30,69690.8587670588
2023-10-31,0
2023-11-01,100565.782466449
2023-11-02,0
2023-11-03,414698.897643243
2023-11-04,0
2023-11-05,0
2023-11-06,42116.0450433218
2023-11-07,0
2023-11-08,26830.5583975313
2023-11-09,0
2023-11-10,0
2023-11-11,0
2023-11-12,0
2023-11-13,31517.7276290317
2023-11-14,0
2023-11-15,132599.2953191
2023-11-16,0
2023-11-17,41848.4651170909
2023-11-18,0
2023-11-19,0
2023-11-20,76027.1475647059
2023-11-21,0
2023-11-22,144086.135298311
2023-11-23,0
2023-11-24,1081355.66297786
2023-11-25,0
2023-11-26,0
2023-11-27,32116.7216612912
2023-11-28,0
2023-11-29,60271.7012200969
2023-11-30,0
2023-12-01,94283.7191159828
2023-12-02,0
2023-12-03,0
2023-12-04,33244.2725226381
